,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
1639,3070,Litex,LXT,litex,5,2018-08-02T00:00:00.000Z,[],,2000000000.0,2000000000.0,,1640,,,,2022-08-29T15:16:00.000Z,0.0002756269649967614,153417.32566744,48.4171,1.24526196,-3.58671757,-4.98226218,-43.96489186,1.32330418,9.65637301,551253.9299935227,0.0,551253.93,,2022-08-29T15:16:00.000Z,1027.0,Ethereum,ETH,ethereum,0xbc46d9961a3932f7d6b64abfdec80c1816c4b835,2022-08-29 15:20:33.561117
1640,2859,XMax,XMX,xmax,9,2018-06-14T00:00:00.000Z,"['media', 'content-creation', 'gaming']",,28792881608.354355,30000000000.0,,1641,,,,2022-08-29T15:16:00.000Z,1.905641753570483e-05,145273.1949871,-0.3202,-0.30518138,-2.64837165,-11.29804933,-20.54153494,-27.32541788,-21.90597911,548689.173984917,0.0001,571692.53,,2022-08-29T15:16:00.000Z,1027.0,Ethereum,ETH,ethereum,0x0f8c45b896784a1e408526b9300519ef8660209c,2022-08-29 15:20:33.561117
1641,4222,1Million Token,1MT,1million-token,3,2020-05-05T00:00:00.000Z,['gambling'],,994685.6484114,995699.2257622,,1642,,,,2022-08-29T15:16:00.000Z,0.5515069529296319,0.0,0.0,-0.09379471,1.34352658,125.96495536,81.04720265,159.32701643,99.85581305,548576.0510782064,0.0,549135.05,,2022-08-29T15:16:00.000Z,1027.0,Ethereum,ETH,ethereum,0xf0bc1ae4ef7ffb126a8347d06ac6f8add770e1ce,2022-08-29 15:20:33.561117
1642,7942,Curate,XCUR,curate,17,2020-12-10T00:00:00.000Z,"['fashion', 'retail', 'marketplace', 'collectibles-nfts', 'defi', 'e-commerce', 'payments', 'governance', 'algorand-ecosystem', 'bnb-chain']",60000000.0,8464267.33191706,50000000.0,,1643,9350000.0,600757.7408126033,,2022-08-29T15:16:00.000Z,0.06425216479279179,175567.24919149,1.1233,0.34195942,-0.4226874,-15.47116525,-21.60479058,-22.8268199,-38.62575264,543847.499460579,0.0,3855129.89,,2022-08-29T15:16:00.000Z,1027.0,Ethereum,ETH,ethereum,0xE1c7E30C42C24582888C758984f6e382096786bd,2022-08-29 15:20:33.561117
1643,260,PetroDollar,XPD,petrodollar,1,2014-04-15T00:00:00.000Z,['mineable'],,63993274.887257,63993274.887257,,1644,,,,2022-08-29T15:16:00.000Z,0.008479230175299663,0.0,0.0,-0.10382503,1.2627772,-5.06166925,-40.14331326,5.46733318,-36.09507075,542613.7074402757,0.0001,542613.71,,2022-08-29T15:16:00.000Z,,,,,,2022-08-29 15:20:33.561117
1644,4047,Naka Bodhi Token,NBOT,naka-bodhi-token,3,2019-06-24T00:00:00.000Z,[],100000000.0,70000000.0,100000000.0,,1645,,,,2022-08-29T15:16:00.000Z,0.0077509636944693506,24240.97260067,74.5667,0.11786744,0.15318199,0.13341179,-4.38180207,3.38786179,-4.33627726,542567.4586128546,0.0001,775096.37,,2022-08-29T15:16:00.000Z,1027.0,Ethereum,ETH,ethereum,0x09Ccd2DA5dCDd0510268d4979e792381337138b8,2022-08-29 15:20:33.561117
1645,10269,Cheems,CHEEMS,cheems,3,2021-06-03T00:00:00.000Z,"['collectibles-nfts', 'memes', 'solana-ecosystem', 'doggone-doggerel']",7000000000.0,2550834901.3805,2775346214.0,,1646,,,,2022-08-29T15:16:00.000Z,0.0002126388926714163,3016.7884692,-15.0415,-0.01249493,0.64026085,21.1605003,10.13153572,19.96616843,31.79069783,542406.7088171509,0.0,1488472.25,,2022-08-29T15:16:00.000Z,5426.0,Solana,SOL,solana,3FoUAsGDbvTD6YZ4wVKJgTB76onJUKz7GPEBNiR5b8wc,2022-08-29 15:20:33.561117
1646,9477,Unicly Hashmasks Collection,UMASK,unicly-hashmasks-collection,1,2021-04-28T00:00:00.000Z,['collectibles-nfts'],100000000.0,100000000.0,100000000.0,,1647,,,,2022-08-29T15:16:00.000Z,0.005418447219937276,0.0,0.0,0.41931846,2.53830833,-3.39241608,-11.98053539,47.3167917,-22.75883337,541844.7219937276,0.0,541844.72,,2022-08-29T15:16:00.000Z,1027.0,Ethereum,ETH,ethereum,0x5872e64c3f93363822d2b1e4717be3398fdcea51,2022-08-29 15:20:33.561117
1647,5868,STATERA,STA,statera,7,2020-07-19T00:00:00.000Z,[],101000000.0,78984744.64442635,78984999.21442634,,1648,,,,2022-08-29T15:16:00.000Z,0.006838748969920699,0.0,-100.0,0.41931846,3.85120283,5.91813364,-6.01902315,-4.98589749,-47.16501456,540156.8410765202,0.0,690713.65,,2022-08-29T15:16:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa7DE087329BFcda5639247F96140f9DAbe3DeED1,2022-08-29 15:20:33.561117
1648,2976,Ryo Currency,RYO,ryo-currency,3,2018-07-27T00:00:00.000Z,['mineable'],88188888.0,40140672.27323078,40257984.61,,1649,,,,2022-08-29T15:16:00.000Z,0.013391739371425992,234.50413937,-30.0591,-5.42862793,-0.38891163,-1.60082171,-21.67089018,-12.55039907,-59.2403099,537553.4212769323,0.0001,1181002.6,,2022-08-29T15:16:00.000Z,,,,,,2022-08-29 15:20:33.561117
